State(linked tosummaries below),Incumbent,Incumbent,Incumbent,Results,Candidates
State(linked tosummaries below),Senator,Party,Electoral history,Results,Candidates
Alabama,Jeff Sessions,Republican,1996,Incumbent re-elected.,Jeff Sessions (Republican) 58.6% Susan Parker (Democratic) 39.8% Jeff Allen (Libertarian) 1.5%
Alaska,Ted Stevens,Republican,1968 (Appointed)197019721978198419901996,Incumbent re-elected.,Ted Stevens (Republican) 78% Frank J. Vondersaar (Democratic) 11% Jim Sykes (Green) 8% Jim Dore (AI) 3% Leonard Karpinski (Libertarian) 1%
Arkansas,Tim Hutchinson,Republican,1996,Incumbent lost re-election.New senator elected.Democratic gain.,Mark Pryor (Democratic) 53.9% Tim Hutchinson (Republican) 46.1%
Colorado,Wayne Allard,Republican,1996,Incumbent re-elected.,Wayne Allard (Republican) 50.7% Tom Strickland (Democratic) 45.8% Douglas Campbell (Constitution) 1.5% Rick Stanley (Libertarian) 1.5% John Heckman (Concerns of People) 0.5%
Delaware,Joe Biden,Democratic,19721978198419901996,Incumbent re-elected.,Joe Biden (Democratic) 58.2% Raymond J. Clatworthy (Republican) 40.8% Maurice Barros (IPD) 0.4% Raymond T. Buranello (Libertarian) 0.4% Robert E. Mattson (Natural Law) 0.2%
Georgia,Max Cleland,Democratic,1996,Incumbent lost re-election.New senator elected.Republican gain.,Saxby Chambliss (Republican) 52.7% Max Cleland (Democratic) 45.9% Claude Thomas (Libertarian) 1.4%
Idaho,Larry Craig,Republican,19901996,Incumbent re-elected.,Larry Craig (Republican) 65% Alan Blinken (Democratic) 33% Donovan Bramwell (Libertarian) 2%
Illinois,Dick Durbin,Democratic,1996,Incumbent re-elected.,Dick Durbin (Democratic) 60.3% Jim Durkin (Republican) 38% Steven Burgauer (Libertarian) 1.6%
Iowa,Tom Harkin,Democratic,198419901996,Incumbent re-elected.,Tom Harkin (Democratic) 54.2% Greg Ganske (Republican) 43.8% Tim Harthan (Green) 1.1% Richard J. Moore (Libertarian) 0.9%
Kansas,Pat Roberts,Republican,1996,Incumbent re-elected.,Pat Roberts (Republican) 82.5% Steven A. Rosile (Libertarian) 9.1% George Cook (Reform) 8.4%
Kentucky,Mitch McConnell,Republican,198419901996,Incumbent re-elected.,Mitch McConnell (Republican) 64.7% Lois Combs Weinberg (Democratic) 35.3%
Louisiana,Mary Landrieu,Democratic,1996,Incumbent re-elected.,Mary Landrieu (Democratic) 51.7% Suzanne Haik Terrell (Republican) 48.3%
