State(linked tosummaries below),Incumbent,Incumbent,Incumbent,Results,Candidates
State(linked tosummaries below),Senator,Party,Electoral history,Results,Candidates
Alabama,Richard Shelby,Republican,19861992,Incumbent re-elected.,Richard Shelby (Republican) 63.2% Clayton Suddith (Democratic) 36.7%
Alaska,Frank Murkowski,Republican,198019861992,Incumbent re-elected.,Frank Murkowski (Republican) 74.5% Joe Sonneman (Democratic) 19.7% Jeffrey Gottlieb (Green) 3.2% Scott Kohlhaas (Libertarian) 2.3%
Arizona,John McCain,Republican,19861992,Incumbent re-elected.,John McCain (Republican) 68.7% Ed Ranger (Democratic) 27.2% John C. Zajac (Libertarian) 2.3% Bob Park (Reform) 1.8%
Arkansas,Dale Bumpers,Democratic,1974198019861992,Incumbent retired.New senator elected.Democratic hold.,Blanche Lincoln (Democratic) 55.1% Fay Boozman (Republican) 42.2% Charley E. Heffley (Reform) 2.7%
California,Barbara Boxer,Democratic,1992,Incumbent re-elected.,"Barbara Boxer (Democratic) 53% Matt Fong (Republican) 43% Ted Brown (Libertarian) 1.1% Timothy R. Erich (Reform) 1% H. Joseph Perrin, Sr. (American Independent) 0.7% Ophie C. Beltran (Peace & Freedom) 0.6% Brian M. Rees (Natural Law) 0.6%"
Colorado,Ben Nighthorse Campbell,Republican,1992,Incumbent re-elected.,Ben Nighthorse Campbell (Republican) 62.5% Dottie Lamm (Democratic) 35% David S. Segal (Libertarian) 1% Kevin Swanson (American Constitution) 0.7% Jeff Peckman (Natural Law) 0.3% John Heckman] (Concerns of People) 0.2% Gary Swing (Pacifist) 0.1%
Connecticut,Chris Dodd,Democratic,198019861992,Incumbent re-elected.,Chris Dodd (Democratic) 65.1% Gary Franks (Republican) 32.4% William Kozak (Concerned Citizens) 1.3% Lois A. Grasso (Term Limits) 0.7% Wildey Moore (Libertarian) 0.5%
Florida,Bob Graham,Democratic,19861992,Incumbent re-elected.,Bob Graham (Democratic) 62.5% Charlie Crist (Republican) 37.5%
Georgia,Paul Coverdell,Republican,1992,Incumbent re-elected.,Paul Coverdell (Republican) 52.3% Michael Coles (Democratic) 45.3% Bertil Armin Loftman (Libertarian) 2.5%
Hawaii,Daniel Inouye,Democratic,196219681974198019861992,Incumbent re-elected.,Daniel Inouye (Democratic) 79.2% Crystal Young (Republican) 17.8% Lloyd Mallan (Libertarian) 3%
Idaho,Dirk Kempthorne,Republican,1992,Incumbent retired.New senator elected.Republican hold.,Mike Crapo (Republican) 69.5% Bill Mauk (Democratic) 28.4% George J. Mansfeld (Natural Law) 2%
Illinois,Carol Moseley Braun,Democratic,1992,Incumbent lost re-election.New senator elected.Republican gain.,Peter Fitzgerald (Republican) 50.3% Carol Moseley Braun (Democratic) 47.4% Don A. Torgersen (Reform) 2.2% Raymond W. Stalker (U.S. Taxpayers) 0.01%
Indiana,Dan Coats,Republican,1989 (Appointed)1990 (Special)1992,Incumbent retired.New senator elected.Democratic gain.,Evan Bayh (Democratic) 63.7% Paul Helmke (Republican) 34.8% Rebecca Sink-Burris (Libertarian) 1.5%
Iowa,Chuck Grassley,Republican,198019861992,Incumbent re-elected.,Chuck Grassley (Republican) 68.4% David Osterberg (Democratic) 30.5% Susan Marcus (Natural Law) 0.8% Margaret Trowe (Socialist Workers) 0.3%
