State(linked tosummaries below),Incumbent,Incumbent,Incumbent,Results,Candidates
State(linked tosummaries below),Senator,Party,Electoralhistory,Results,Candidates
Arizona,Jeff Flake,Republican,2012,Incumbent retired.New senator elected.Democratic gain.,Kyrsten Sinema (Democratic) 50.0% Martha McSally (Republican) 47.6% Angela Green (Green) 2.4%
California,Dianne Feinstein,Democratic,1992 (Special)1994200020062012,Incumbent re-elected.,Dianne Feinstein (Democratic) 54.2% Kevin de León (Democratic) 45.8%
Connecticut,Chris Murphy,Democratic,2012,Incumbent re-elected.,Chris Murphy (Democratic) 59.5% Matthew Corey (Republican) 39.4% Richard Lion (Libertarian) 0.6% Jeff Russell (Green) 0.5%
Delaware,Tom Carper,Democratic,200020062012,Incumbent re-elected.,Tom Carper (Democratic) 60.0% Robert Arlett (Republican) 37.8% Demitri Theodoropoulos (Green) 1.2% Nadine Frost (Libertarian) 1.1%
Florida,Bill Nelson,Democratic,200020062012,Incumbent lost re-election.New senator elected.Republican gain.,Rick Scott (Republican) 50.1% Bill Nelson (Democratic) 49.9%
Hawaii,Mazie Hirono,Democratic,2012,Incumbent re-elected.,Mazie Hirono (Democratic) 71.2% Ron Curtis (Republican) 28.8%
Indiana,Joe Donnelly,Democratic,2012,Incumbent lost re-election.New senator elected.Republican gain.,Mike Braun (Republican) 50.9% Joe Donnelly (Democratic) 45.0% Lucy Brenton (Libertarian) 4.0%
Maine,Angus King,Independent,2012,Incumbent re-elected.,Angus King (Independent) 54.3% Eric Brakey (Republican) 35.2% Zak Ringelstein (Democratic) 10.4%
Maryland,Ben Cardin,Democratic,20062012,Incumbent re-elected.,Ben Cardin (Democratic) 64.9% Tony Campbell (Republican) 30.3% Neal Simon (Independent) 3.7% Arvin Vohra (Libertarian) 1% Michael Puskar (Independent) (write-in)
Massachusetts,Elizabeth Warren,Democratic,2012,Incumbent re-elected.,Elizabeth Warren (Democratic) 60.4% Geoff Diehl (Republican) 36.2% Shiva Ayyadurai (Independent) 3.4%
Michigan,Debbie Stabenow,Democratic,200020062012,Incumbent re-elected.,Debbie Stabenow (Democratic) 52.3% John James (Republican) 45.8% Marcia Squier (Independent) 1% George Huffman III (Taxpayers) 0.6 John Wilhelm (Natural Law) 0.4%
Minnesota,Amy Klobuchar,Democratic,20062012,Incumbent re-elected.,Amy Klobuchar (Democratic) 60.3% Jim Newberger (Republican) 36.2% Dennis Schuller (Legal Marijuana Now) 2.5% Paula M. Overby (Green) 0.9%
Mississippi,Roger Wicker,Republican,2007 (Appointed)2008 (Special)2012,Incumbent re-elected.,Roger Wicker (Republican) 58.5% David Baria (Democratic) 39.5% Danny Bedwell (Libertarian) 1.4% Shawn O'Hara (Reform) 0.6%
Missouri,Claire McCaskill,Democratic,20062012,Incumbent lost re-election.New senator elected.Republican gain.,Josh Hawley (Republican) 51.4% Claire McCaskill (Democratic) 45.6% Craig O'Dear (independent) 1.4% Japheth Campbell (Libertarian) 1.1% Jo Crain (Green) 0.5%
