State(linked to summaries below),Incumbent,Incumbent,Incumbent,Results,Candidates
State(linked to summaries below),Senator,Party,Electoral history,Results,Candidates
Arizona,Jon Kyl,Republican,1994,Incumbent re-elected.,Jon Kyl (Republican) 79.3% William Toel (Independent) 7.8% Vance Hansen (Green) 7.8% Barry Hess (Libertarian) 5.1%
California,Dianne Feinstein,Democratic,1992 (Special)1994,Incumbent re-elected.,Dianne Feinstein (Democratic) 55.8% Tom Campbell (Republican) 36.6% Medea Benjamin (Green) 3.1% Gail Lightfoot (Libertarian) 1.8% Diane Beall Templin (American Independent) 1.3% Jose Camahort (Reform) 0.9% Brian M. Rees (Natural Law) 0.6%
Connecticut,Joe Lieberman,Democratic,19881994,Incumbent re-elected.,Joe Lieberman (Democratic) 63.2% Philip Giordano (Republican) 34.1% William Kozak (Concerned Citizens) 2% Wildey J. Moore (Libertarian) 0.7%
Delaware,William Roth,Republican,19701971 (Appointed)1976198219881994,Incumbent lost re-election.New senator elected.Democratic gain.,Tom Carper (Democratic) 55.5% William Roth (Republican) 43.7% Mark Dankof (Constitution) 0.3% J. Burke Morrison (Libertarian) 0.3% Robert Mattson (Natural Law) 0.2%
Florida,Connie Mack III,Republican,19881994,Incumbent retired.New senator elected.Democratic gain.,Bill Nelson (Democratic) 51% Bill McCollum (Republican) 46.2% Willie Logan (Independent) 1.4% Joe Simonetta (Natural Law) 0.4% Darrell L. McCormick (Independent) 0.4% Joel Deckard (Reform) 0.3% Andy Martin (Independent) 0.3% Nikki Oldaker (Independent) 0.1%
Hawaii,Daniel Akaka,Democratic,1990 (Appointed)1990 (Special)1994,Incumbent re-elected.,Daniel Akaka (Democratic) 72.7% John Carroll (Republican) 24.5% Lauri Clegg (Natural Law) 1.2% Lloyd Jeffrey Mallan (Libertarian) 0.9% David Porter (Constitution) 0.7%
Indiana,Richard Lugar,Republican,1976198219881994,Incumbent re-elected.,Richard Lugar (Republican) 66.5% David Johnson (Democratic) 31.9% Paul Hager (Libertarian) 1.6%
Maine,Olympia Snowe,Republican,1994,Incumbent re-elected.,Olympia Snowe (Republican) 68.9% Mark Lawrence (Democratic) 31.1%
Maryland,Paul Sarbanes,Democratic,1976198219881994,Incumbent re-elected.,Paul Sarbanes (Democratic) 63.2% Paul Rappaport (Republican) 36.7%
Massachusetts,Ted Kennedy,Democratic,1962 (Special)196419701976198219881994,Incumbent re-elected.,Ted Kennedy (Democratic) 72.9% Jack E. Robinson III (Republican) 12.9% Carla Howell (Libertarian) 11.9% Philip F. Lawler (Constitution) 1.62% Dale Friedgen (Independent) 0.5%
Michigan,Spencer Abraham,Republican,1994,Incumbent lost re-election.New senator elected.Democratic gain.,Debbie Stabenow (Democratic) 49.4% Spencer Abraham (Republican) 47.9% Matthew Abel (Green) 0.9% Michael Corliss (Libertarian) 0.7% Mark Forton (Reform) 0.6% John Mangopoulos (U.S. Taxpayers) 0.3% William Quarton (Natural Law) 0.1%
